date,stepCount
2024-07-01,5882
2024-07-02,2498
2024-07-03,3178
2024-07-04,6168
2024-07-05,6304
2024-07-06,4778
2024-07-07,5447
2024-07-08,8141
2024-07-09,2384
2024-07-10,6152
2024-07-11,3972
2024-07-12,5132
2024-07-13,4265
2024-07-14,4561
2024-07-15,4269
2024-07-16,5386
2024-07-17,3422
2024-07-18,2950
2024-07-19,4267
2024-07-20,8592
2024-07-21,2977
2024-07-22,2866
2024-07-23,3596
2024-07-24,4432
2024-07-25,4758
2024-07-26,3622
2024-07-27,2217
2024-07-28,3040
2024-07-29,3131
2024-07-30,1080
2024-07-31,2241
2024-08-01,4013
2024-08-02,2956
2024-08-03,3650
2024-08-04,1216
2024-08-05,3544
2024-08-06,7245
2024-08-07,5116
2024-08-08,2694
2024-08-09,4374
2024-08-10,5095
2024-08-11,4522
2024-08-12,4395
2024-08-13,4017
2024-08-14,1113
2024-08-15,6964
2024-08-16,5423
2024-08-17,3284
2024-08-18,3838
2024-08-19,7383
2024-08-20,1096
2024-08-21,5258
2024-08-22,3906
2024-08-23,2351
2024-08-24,1828
2024-08-25,1963
2024-08-26,2483
2024-08-27,2060
2024-08-28,1581
2024-08-29,4855
2024-08-30,3915
2024-08-31,7072
2024-09-01,11507
2024-09-02,4026
2024-09-03,7672
2024-09-04,4817
2024-09-05,4136
2024-09-06,5511
2024-09-07,4384
2024-09-08,4447
2024-09-09,3879
2024-09-10,2935
2024-09-11,3897
2024-09-12,2966
2024-09-13,7544
2024-09-14,6607
2024-09-15,3311
2024-09-16,2957
2024-09-17,5356
2024-09-18,4169
2024-09-19,3157
2024-09-20,3377
2024-09-21,456
2024-09-22,3808
2024-09-23,286
2024-09-24,597
2024-09-25,3501
2024-09-26,2131
2024-09-27,4638
2024-09-28,5457
2024-09-29,1289
2024-09-30,3592
2024-10-01,4346
2024-10-02,1983
2024-10-03,3588
2024-10-04,1816
2024-10-05,968
2024-10-06,3254
2024-10-07,975
2024-10-08,2904
2024-10-09,3672
2024-10-10,2310
2024-10-11,2490
2024-10-12,1026
2024-10-13,1273
2024-10-14,1317
2024-10-15,4604
2024-10-16,3677
2024-10-17,3092
2024-10-18,20287
2024-10-19,10284
2024-10-20,15262
2024-10-21,4501
2024-10-22,1666
2024-10-23,2435
2024-10-24,18566
2024-10-25,12292
2024-10-26,10249
2024-10-27,4223
2024-10-28,689
2024-10-29,4979
2024-10-30,2173
2024-10-31,1787
2024-11-01,2379
2024-11-02,925
2024-11-03,3568
2024-11-04,1770
2024-11-05,4978
2024-11-06,1712
2024-11-07,2638
2024-11-08,5528
2024-11-09,967
2024-11-10,6178
2024-11-11,4405
2024-11-12,5488
2024-11-13,1830
2024-11-14,4138
2024-11-15,2160
2024-11-16,1425
2024-11-17,2037
2024-11-18,7628
2024-11-19,4748
2024-11-20,3365
2024-11-21,1284
2024-11-22,1380
2024-11-23,1758
2024-11-24,2122
2024-11-25,4947
2024-11-26,1057
2024-11-27,2432
2024-11-28,3452
